anchor_level,barrier_id,barrier_id_status,barrier_label,barrier_label_text,base_model,bias_type,condition,group,is_hallucinated,iteration,label_status,model,model_label,official_label,row_id,scenario,source,timestamp,variant_id
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he03_s1,NEU,human,,
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he08_s1,NEU,human,,
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he09_s1,NEU,human,,
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he19_s2,NEU,human,,
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he20_s2,NEU,human,,
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he22_s2,NEU,human,,
,1,,"power losses, quality and safety issues","power losses, quality and safety issues",,,NEU,human,,,,,,,he23_s2,NEU,human,,
,2,,reduced reliability in DC devices,reduced reliability in DC devices,,,NEU,human,,,,,,,he01_s1,NEU,human,,
,2,,reduced reliability in DC devices,reduced reliability in DC devices,,,NEU,human,,,,,,,he17_s2,NEU,human,,
,2,,reduced reliability in DC devices,reduced reliability in DC devices,,,NEU,human,,,,,,,he20_s2,NEU,human,,
,2,,reduced reliability in DC devices,reduced reliability in DC devices,,,NEU,human,,,,,,,he21_s2,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he02_s1,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he06_s1,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he15_s2,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he17_s2,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he18_s2,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he20_s2,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he22_s2,NEU,human,,
,3,,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,,,NEU,human,,,,,,,he23_s2,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he02_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he03_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he05_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he06_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he08_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he09_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he12_s1,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he15_s2,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he16_s2,NEU,human,,
,4,,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",,,NEU,human,,,,,,,he20_s2,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he02_s1,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he04_s1,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he08_s1,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he10_s1,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he14_s2,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he16_s2,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he18_s2,NEU,human,,
,5,,lack of pilot projects,lack of pilot projects,,,NEU,human,,,,,,,he21_s2,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he05_s1,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he07_s1,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he09_s1,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he11_s1,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he12_s1,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he13_s2,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he17_s2,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he18_s2,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he19_s2,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he21_s2,NEU,human,,
,6,,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,,,NEU,human,,,,,,,he23_s2,NEU,human,,
,7,,incompatibility of DC systems components,incompatibility of DC systems components,,,NEU,human,,,,,,,he10_s1,NEU,human,,
,7,,incompatibility of DC systems components,incompatibility of DC systems components,,,NEU,human,,,,,,,he11_s1,NEU,human,,
,7,,incompatibility of DC systems components,incompatibility of DC systems components,,,NEU,human,,,,,,,he14_s2,NEU,human,,
,7,,incompatibility of DC systems components,incompatibility of DC systems components,,,NEU,human,,,,,,,he22_s2,NEU,human,,
,8,,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,,NEU,human,,,,,,,he02_s1,NEU,human,,
,8,,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,,NEU,human,,,,,,,he03_s1,NEU,human,,
,8,,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,,NEU,human,,,,,,,he04_s1,NEU,human,,
,8,,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,,NEU,human,,,,,,,he05_s1,NEU,human,,
