prior_name,base_model,dc_solution,base_solution,anchor_type,comparison,log_odds_median,log_odds_l95,log_odds_u95,OR_median,OR_l95,OR_u95,posterior_probability_OR_gt_1,posterior_probability_OR_lt_1,conclusion
primary,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,1.8659091899479003,0.5649663583848896,3.1612934286440395,6.461808229418887,1.7593904803066134,23.60110261988141,0.9965,0.0035,higher under Anchor
primary,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,6.199690031738779,4.903115813749151,7.731236116125542,492.5963339945871,134.70885741458386,2278.4168490108236,1,0,higher under Anchor
primary,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,-0.8973510966482976,-3.32802495068399,1.0614747446380801,0.40764808202831615,0.03586386825084153,2.890630828376344,0.202,0.798,uncertain
primary,gemma3,DC-DC converter,gemma3__DC-DC converter,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,-0.9140414812962591,-3.3898276089715518,1.0698433029147978,0.4009007161858398,0.03371448864793551,2.914922727737073,0.20225,0.79775,uncertain
primary,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-1.042669557421279,-3.5236692601741715,0.9020662443141981,0.35251237362778365,0.02949102830769406,2.4646913036497753,0.159875,0.840125,uncertain
primary,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,5.959923304794982,4.6919325632948254,7.444478249834088,387.58039766132805,109.06374887579499,1710.392765351311,1,0,higher under Anchor
primary,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.3660943908527916,-0.04195736491931594,2.6042189959562676,3.9200107340817727,0.9589106629567341,13.520661529014653,0.972125,0.027875,uncertain
primary,gemma3,DC connectors,gemma3__DC connectors,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,2.279642767389123,1.1513367463314121,3.3979739963128157,9.773188495556617,3.1624175477783094,29.90345614769827,0.999875,1.25e-4,higher under Anchor
primary,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-1.2593366493777447,-2.3840161059366696,-0.3141810286704678,0.28384225494002224,0.092179642964492,0.7303868242515272,0.004,0.996,lower under Anchor
primary,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,3.544218756269762,2.2671425133708194,5.286673285342897,34.61263387396783,9.651781690633896,197.68470976263433,1,0,higher under Anchor
primary,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,1.5988229953366804,0.7929282725874673,2.487808857939418,4.947206111771128,2.2098580680213167,12.034877130346395,1,0,higher under Anchor
primary,gemma3,DC measurement device,gemma3__DC measurement device,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,1.2835363207398744,0.5033462421304514,2.11387169674094,3.6093811156934192,1.6542475327530828,8.280237951871204,0.99975,2.5e-4,higher under Anchor
primary,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,0.3215660048835788,-2.050036916425515,2.9670757029516306,1.3792860431468008,0.12873015128494436,19.43501239791704,0.59675,0.40325,uncertain
primary,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,0.322616884854663,-2.0571914261539623,3.0854180735692216,1.3807362690426448,0.12781243753955884,21.87661096469842,0.5955,0.4045,uncertain
primary,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,0.3295291684026899,-2.1401034805661205,3.111152836878153,1.390313444216221,0.11764269030688644,22.44690952722501,0.59725,0.40275,uncertain
primary,gemma3,DC solution design tool,gemma3__DC solution design tool,ANCHOR_NUM_LOW,ANCHOR_NUM_LOW vs CONTEXT,0.35360039910712093,-2.034159762741122,3.0393302575877117,1.4241859667732104,0.13079033231556245,20.891246794845493,0.609625,0.390375,uncertain
primary,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,ANCHOR_EXAMPLE vs CONTEXT,-0.3244321961556986,-3.0885475982410013,2.1384953814521737,0.722937733514043,0.045568090092458456,8.486659536419616,0.405625,0.594375,uncertain
primary,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_WORD,ANCHOR_WORD vs CONTEXT,-0.35982107138216657,-3.1706370161355264,2.159079515032673,0.6978012116067926,0.04197685009174072,8.663159808420703,0.398,0.602,uncertain
primary,gemma3,LVAC-LVDC interlink converter,gemma3__LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,ANCHOR_NUM_HIGH vs CONTEXT,-0.32434602149969605,-3.0423758809674117,2.085904509550416,0.7230000508328223,0.04772137654688689,8.051871489178131,0.400125,0.599875,uncertain
